circuit_tag,total_base,total_tcache,speedup_total,base_03,tc_02,tc_03,tc_07,tc_sum_020307,speedup_compile
GHZ-Chain\_q3\_allD,0.683,0.187,3.65,0.612,0.003,0.124,0.004,0.131,4.67
GHZ-Chain\_q5\_allD,0.609,0.175,3.48,0.542,0.003,0.103,0.008,0.115,4.71
GHZ-Chain\_q7\_allD,0.648,0.208,3.12,0.571,0.004,0.114,0.015,0.133,4.29
GHZ-Chain\_q9\_allD,0.805,0.246,3.27,0.702,0.004,0.133,0.024,0.161,4.35
GHZ-Chain\_q11\_allD,0.731,0.264,2.77,0.635,0.004,0.129,0.036,0.169,3.76
GHZ-Chain\_q13\_allD,0.752,0.294,2.56,0.643,0.006,0.129,0.051,0.185,3.47
GHZ-Chain\_q15\_allD,1.132,0.601,1.88,0.948,0.008,0.212,0.207,0.427,2.22
GHZ-Chain\_q17\_allD,1.208,0.510,2.37,1.006,0.008,0.197,0.108,0.313,3.21
GHZ-Chain\_q19\_allD,1.315,0.661,1.99,1.033,0.008,0.217,0.141,0.366,2.82
GHZ-Chain\_q21\_allD,1.592,1.276,1.25,1.071,0.009,0.259,0.415,0.683,1.57
GHZ-Chain\_q23\_allD,3.253,2.936,1.11,1.113,0.010,0.252,0.448,0.709,1.57
LinearEnt\_q3\_allD,0.896,0.237,3.78,0.819,0.008,0.153,0.006,0.166,4.92
LinearEnt\_q5\_allD,1.135,0.322,3.53,1.025,0.012,0.204,0.007,0.223,4.59
LinearEnt\_q7\_allD,1.587,0.448,3.54,1.383,0.019,0.265,0.021,0.305,4.53
LinearEnt\_q9\_allD,1.865,0.576,3.24,1.681,0.022,0.305,0.076,0.404,4.17
LinearEnt\_q11\_allD,2.212,0.690,3.21,1.996,0.026,0.338,0.110,0.474,4.21
LinearEnt\_q13\_allD,2.289,1.242,1.84,1.952,0.033,0.436,0.324,0.794,2.46
LinearEnt\_q15\_allD,3.804,1.411,2.70,3.290,0.051,0.544,0.336,0.931,3.53
LinearEnt\_q17\_allD,4.006,2.306,1.74,3.048,0.059,0.905,0.619,1.583,1.93
LinearEnt\_q19\_allD,4.386,2.862,1.53,3.342,0.065,0.611,0.917,1.594,2.10
LinearEnt\_q21\_allD,6.560,5.183,1.27,3.584,0.074,0.669,1.243,1.986,1.80
LinearEnt\_q23\_allD,26.146,25.646,1.02,4.064,0.089,0.974,1.950,3.014,1.35
QFT-Like\_q3\_allD,0.843,0.249,3.39,0.762,0.008,0.159,0.007,0.174,4.38
QFT-Like\_q5\_allD,1.610,0.449,3.58,1.481,0.020,0.284,0.009,0.313,4.73
QFT-Like\_q7\_allD,3.268,0.840,3.89,3.049,0.042,0.555,0.028,0.624,4.89
QFT-Like\_q9\_allD,5.539,1.573,3.52,5.150,0.071,1.106,0.074,1.251,4.12
QFT-Like\_q11\_allD,8.047,2.228,3.61,7.472,0.097,1.492,0.127,1.716,4.36
QFT-Like\_q13\_allD,11.879,3.491,3.40,11.176,0.129,1.985,0.602,2.715,4.12
QFT-Like\_q15\_allD,16.305,4.682,3.48,15.188,0.188,2.701,0.634,3.522,4.31
QFT-Like\_q17\_allD,22.161,7.363,3.01,20.511,0.253,4.137,0.708,5.098,4.02
QFT-Like\_q19\_allD,30.838,10.550,2.92,27.170,0.297,5.137,0.816,6.249,4.35
QFT-Like\_q21\_allD,50.970,25.612,1.99,33.530,0.386,6.961,1.310,8.657,3.87
QFT-Like\_q23\_allD,190.709,164.111,1.16,42.771,0.494,9.095,1.410,10.999,3.89
RCA\_q3\_allD,0.711,0.188,3.78,0.641,0.004,0.119,0.004,0.127,5.05
RCA\_q5\_allD,0.804,0.289,2.78,0.719,0.006,0.199,0.008,0.214,3.37
RCA\_q7\_allD,1.056,0.295,3.57,0.951,0.009,0.174,0.015,0.199,4.78
RCA\_q9\_allD,1.355,0.407,3.33,1.212,0.014,0.232,0.029,0.274,4.42
RCA\_q11\_allD,1.479,0.445,3.32,1.227,0.015,0.245,0.035,0.295,4.16
RCA\_q13\_allD,1.772,0.573,3.09,1.377,0.019,0.282,0.049,0.349,3.94
RCA\_q15\_allD,2.775,0.905,3.07,2.326,0.034,0.426,0.077,0.537,4.33
RCA\_q17\_allD,2.779,1.268,2.19,2.296,0.038,0.541,0.185,0.763,3.01
RCA\_q19\_allD,3.822,1.795,2.13,2.805,0.043,0.512,0.243,0.799,3.51
RCA\_q21\_allD,5.873,4.171,1.41,3.019,0.050,0.538,0.135,0.722,4.18
RCA\_q23\_allD,20.269,18.881,1.07,3.152,0.060,0.806,0.318,1.184,2.66
QSIM-XXZ\_q3\_allD,1.266,0.332,3.81,1.134,0.017,0.187,0.020,0.225,5.05
QSIM-XXZ\_q5\_allD,1.612,0.526,3.06,1.447,0.024,0.274,0.027,0.326,4.44
QSIM-XXZ\_q7\_allD,2.195,0.754,2.91,1.912,0.036,0.441,0.045,0.522,3.66
QSIM-XXZ\_q9\_allD,2.966,1.090,2.72,2.642,0.050,0.580,0.081,0.711,3.71
QSIM-XXZ\_q11\_allD,4.020,1.276,3.15,3.428,0.061,0.639,0.082,0.782,4.38
QSIM-XXZ\_q13\_allD,4.353,1.984,2.19,3.191,0.072,0.652,0.352,1.076,2.96
QSIM-XXZ\_q15\_allD,5.288,1.955,2.70,4.485,0.120,0.838,0.177,1.134,3.95
QSIM-XXZ\_q17\_allD,6.328,2.639,2.40,5.379,0.135,0.978,0.537,1.650,3.26
QSIM-XXZ\_q19\_allD,7.414,2.928,2.53,6.237,0.148,1.100,0.455,1.703,3.66
QSIM-XXZ\_q21\_allD,8.894,4.287,2.07,6.777,0.174,1.145,0.690,2.010,3.37
QSIM-XXZ\_q23\_allD,18.304,12.883,1.42,7.553,0.209,1.205,0.731,2.146,3.52
