circuit,q,d,N,method,e2e_latency,final_cache_size,final_hitrate
GHZ-Chain,3,4,10,FS+Pre+ttl+SE+ema,0.015664499980630353,1,1.0
GHZ-Chain,3,4,10,FS,0.03966879998915829,1,0.9
GHZ-Chain,3,4,10,PR,0.04080660006729886,1,0.9
GHZ-Chain,3,4,10,Full,0.23968020000029355,0,0.0
GHZ-Chain,11,4,10,FS+Pre+ttl+SE+ema,0.018869500054279342,1,1.0
GHZ-Chain,11,4,10,FS,0.039612899912754074,1,0.9
GHZ-Chain,11,4,10,PR,0.048134999960893765,1,0.9
GHZ-Chain,11,4,10,Full,0.23432150000007823,0,0.0
GHZ-Chain,17,4,10,FS+Pre+ttl+SE+ema,0.04270730004645884,1,1.0
GHZ-Chain,17,4,10,FS,0.09130080003524199,1,0.9
GHZ-Chain,17,4,10,PR,0.11261529990588315,1,0.9
GHZ-Chain,17,4,10,Full,0.570085199928144,0,0.0
GHZ-Chain,23,4,10,FS+Pre+ttl+SE+ema,0.8054450000054203,1,1.0
GHZ-Chain,23,4,10,FS,0.8983382999140304,1,0.9
GHZ-Chain,23,4,10,PR,0.943669200030854,1,0.9
GHZ-Chain,23,4,10,Full,1.4281797000439838,0,0.0
LinearEnt,3,4,10,FS+Pre+ttl+SE+ema,0.014340899972012267,1,1.0
LinearEnt,3,4,10,FS,0.04014889997779392,1,0.9
LinearEnt,3,4,10,PR,0.048148499947274104,1,0.9
LinearEnt,3,4,10,Full,0.2721432000398636,0,0.0
LinearEnt,11,4,10,FS+Pre+ttl+SE+ema,0.03732890004175715,1,1.0
LinearEnt,11,4,10,FS,0.07361379999201745,1,0.9
LinearEnt,11,4,10,PR,0.13118129991926253,1,0.9
LinearEnt,11,4,10,Full,0.3460793000413105,0,0.0
LinearEnt,17,4,10,FS+Pre+ttl+SE+ema,0.10024239993072115,1,1.0
LinearEnt,17,4,10,FS,0.18303069999092259,1,0.9
LinearEnt,17,4,10,PR,0.25088619999587536,1,0.9
LinearEnt,17,4,10,Full,0.9044730999157764,0,0.0
LinearEnt,23,4,10,FS+Pre+ttl+SE+ema,2.75494669994805,1,1.0
LinearEnt,23,4,10,FS,2.9197450999636203,1,0.9
LinearEnt,23,4,10,PR,2.871128399972804,1,0.9
LinearEnt,23,4,10,Full,3.7681962000206113,0,0.0
QFT-Like,3,4,10,FS+Pre+ttl+SE+ema,0.015071100002387539,1,1.0
QFT-Like,3,4,10,FS,0.038618800026597455,1,0.9
QFT-Like,3,4,10,PR,0.2904917999985628,0,0.0
QFT-Like,3,4,10,Full,0.23686889998498373,0,0.0
QFT-Like,11,4,10,FS+Pre+ttl+SE+ema,0.06196089996956289,1,1.0
QFT-Like,11,4,10,FS,0.13107900001341477,1,0.9
QFT-Like,11,4,10,PR,1.370846400008304,0,0.0
QFT-Like,11,4,10,Full,0.7502923000138253,0,0.0
QFT-Like,17,4,10,FS+Pre+ttl+SE+ema,0.2678651000314858,1,1.0
QFT-Like,17,4,10,FS,0.4800060000270605,1,0.9
QFT-Like,17,4,10,PR,3.6357224000093993,0,0.0
QFT-Like,17,4,10,Full,1.8191396000329405,0,0.0
QFT-Like,23,4,10,FS+Pre+ttl+SE+ema,20.610305499954848,1,1.0
QFT-Like,23,4,10,FS,20.56806790002156,1,0.9
QFT-Like,23,4,10,PR,30.11304149994976,0,0.0
QFT-Like,23,4,10,Full,27.04664230000344,0,0.0
QAOA-3reg,3,4,10,FS+Pre+ttl+SE+ema,0.017378400050802156,1,1.0
QAOA-3reg,3,4,10,FS,0.04729300001054071,1,0.9
QAOA-3reg,3,4,10,PR,0.06246000007377006,1,0.9
QAOA-3reg,3,4,10,Full,0.2650956000434235,0,0.0
QAOA-3reg,11,4,10,FS+Pre+ttl+SE+ema,0.0684095999749843,1,1.0
QAOA-3reg,11,4,10,FS,0.10698579996824265,1,0.9
QAOA-3reg,11,4,10,PR,0.22544819995528087,1,0.9
QAOA-3reg,11,4,10,Full,0.4560731000965461,0,0.0
QAOA-3reg,17,4,10,FS+Pre+ttl+SE+ema,0.3590257999894675,1,1.0
QAOA-3reg,17,4,10,FS,0.2752965000108816,1,0.9
QAOA-3reg,17,4,10,PR,0.35349139996105805,1,0.9
QAOA-3reg,17,4,10,Full,1.0574559000961017,0,0.0
QAOA-3reg,23,4,10,FS+Pre+ttl+SE+ema,6.150680399994599,1,1.0
QAOA-3reg,23,4,10,FS,6.737457300041569,1,0.9
QAOA-3reg,23,4,10,PR,6.601145799882943,1,0.9
QAOA-3reg,23,4,10,Full,7.581354900059523,0,0.0
RCA,3,4,10,FS+Pre+ttl+SE+ema,0.012235700007295236,1,1.0
RCA,3,4,10,FS,0.03525819999049418,1,0.9
RCA,3,4,10,PR,0.2538827999669593,0,0.0
RCA,3,4,10,Full,0.21907940003438853,0,0.0
RCA,11,4,10,FS+Pre+ttl+SE+ema,0.025290300021879375,1,1.0
RCA,11,4,10,FS,0.0544813999440521,1,0.9
RCA,11,4,10,PR,0.400652100041043,0,0.0
RCA,11,4,10,Full,0.31509549997281283,0,0.0
RCA,17,4,10,FS+Pre+ttl+SE+ema,0.07522569998400286,1,1.0
RCA,17,4,10,FS,0.1314911000081338,1,0.9
RCA,17,4,10,PR,0.9861143999733031,0,0.0
RCA,17,4,10,Full,0.6882132000173442,0,0.0
RCA,23,4,10,FS+Pre+ttl+SE+ema,2.9857924999960233,1,1.0
RCA,23,4,10,FS,2.858773399988422,1,0.9
RCA,23,4,10,PR,3.4808668999758083,0,0.0
RCA,23,4,10,Full,3.3060845999862067,0,0.0
VQE-Full,3,4,10,FS+Pre+ttl+SE+ema,0.013806699949782342,1,1.0
VQE-Full,3,4,10,FS,0.04031589991063811,1,0.9
VQE-Full,3,4,10,PR,0.3852863000356592,0,0.0
VQE-Full,3,4,10,Full,0.2571759999846108,0,0.0
VQE-Full,11,4,10,FS+Pre+ttl+SE+ema,0.0443633999384474,1,1.0
VQE-Full,11,4,10,FS,0.06390559990541078,1,0.9
VQE-Full,11,4,10,PR,0.45488579996163025,0,0.0
VQE-Full,11,4,10,Full,0.40987689996836707,0,0.0
VQE-Full,17,4,10,FS+Pre+ttl+SE+ema,0.10366750005050562,1,1.0
VQE-Full,17,4,10,FS,0.18436169996857643,1,0.9
VQE-Full,17,4,10,PR,1.0883732999791391,0,0.0
VQE-Full,17,4,10,Full,0.7526200000429526,0,0.0
VQE-Full,23,4,10,FS+Pre+ttl+SE+ema,3.692476699972758,1,1.0
VQE-Full,23,4,10,FS,3.773396300006425,1,0.9
VQE-Full,23,4,10,PR,5.409953300084453,0,0.0
VQE-Full,23,4,10,Full,4.701793699961854,0,0.0
QSIM-XXZ,3,4,10,FS+Pre+ttl+SE+ema,0.01751100001274608,1,1.0
QSIM-XXZ,3,4,10,FS,0.04525730002205819,1,0.9
QSIM-XXZ,3,4,10,PR,0.0534151999745518,1,0.9
QSIM-XXZ,3,4,10,Full,0.2518403999565635,0,0.0
QSIM-XXZ,11,4,10,FS+Pre+ttl+SE+ema,0.06691500003216788,1,1.0
QSIM-XXZ,11,4,10,FS,0.10599160008132458,1,0.9
QSIM-XXZ,11,4,10,PR,0.13963110005715862,1,0.9
QSIM-XXZ,11,4,10,Full,0.4123651999689173,0,0.0
QSIM-XXZ,17,4,10,FS+Pre+ttl+SE+ema,0.13341590008349158,1,1.0
QSIM-XXZ,17,4,10,FS,0.2469514000986237,1,0.9
QSIM-XXZ,17,4,10,PR,0.5315954000980128,1,0.9
QSIM-XXZ,17,4,10,Full,1.0165745999838691,0,0.0
QSIM-XXZ,23,4,10,FS+Pre+ttl+SE+ema,1.6671284000040032,1,1.0
QSIM-XXZ,23,4,10,FS,1.7745589000114705,1,0.9
QSIM-XXZ,23,4,10,PR,2.016215400042711,1,0.9
QSIM-XXZ,23,4,10,Full,2.5838307999656536,0,0.0
