size,method,peak_rss_mb,ru_maxrss_mb,peak_tracemalloc_mb,ok,err
50,TransCache,187.796875,,20.350141525268555,True,
50,FS,185.96484375,,20.003673553466797,True,
50,PR,240.87890625,,46.713436126708984,True,
100,TransCache,190.79296875,,21.345911026000977,True,
100,FS,187.68359375,,20.545308113098145,True,
100,PR,242.859375,,50.34828472137451,True,
150,TransCache,198.87890625,,21.968889236450195,True,
150,FS,189.1640625,,21.15188694000244,True,
150,PR,244.9375,,50.50939464569092,True,
200,TransCache,197.2890625,,23.05253505706787,True,
200,FS,191.76171875,,21.659866333007812,True,
200,PR,249.796875,,52.03306007385254,True,
300,TransCache,198.28125,,25.89138412475586,True,
300,FS,193.671875,,21.82416534423828,True,
300,PR,249.87890625,,52.66706657409668,True,
350,TransCache,200.8046875,,25.72212314605713,True,
350,FS,190.79296875,,22.01591205596924,True,
350,PR,253.11328125,,52.630117416381836,True,
400,TransCache,201.72265625,,25.584335327148438,True,
400,FS,192.94921875,,27.07222270965576,True,
400,PR,252.453125,,53.092844009399414,True,
450,TransCache,205.57421875,,26.278738021850586,True,
450,FS,195.27734375,,27.60970115661621,True,
450,PR,253.43359375,,53.27114200592041,True,
500,TransCache,201.8671875,,26.11052131652832,True,
500,FS,194.33203125,,27.421713829040527,True,
500,PR,255.1875,,53.820406913757324,True,
