size,method,n,mean,std,median,p25,p75,n_fail
50,FS,5.0,186.21171875,0.38830875782841934,186.484375,185.875,186.5,0
50,PR,5.0,241.75,0.7973382538268342,241.609375,241.43359375,242.55078125,0
50,TransCache,5.0,188.90078125,1.058530613892142,189.30078125,188.83984375,189.625,0
100,FS,5.0,188.3859375,0.337255771007888,188.546875,188.01953125,188.5546875,0
100,PR,5.0,243.2828125,1.1663348207365243,243.51171875,242.74609375,244.01171875,0
100,TransCache,5.0,192.6328125,0.8037691968936107,192.859375,192.140625,193.390625,0
150,FS,5.0,189.184375,0.6688540368841696,188.84765625,188.70703125,189.40625,0
150,PR,5.0,243.0703125,0.832700361821781,243.29296875,242.7421875,243.75,0
150,TransCache,5.0,193.2390625,0.17024081060001447,193.3046875,193.26953125,193.30859375,0
200,FS,5.0,192.25,0.6736350493312384,192.72265625,191.80078125,192.72265625,0
200,PR,5.0,249.21484375,0.8728629035750689,249.3046875,248.8828125,249.59375,0
200,TransCache,5.0,197.2515625,1.2484893215152062,197.06640625,196.08984375,198.22265625,0
300,FS,5.0,192.01796875,0.5386184765501922,191.859375,191.5078125,192.640625,0
300,PR,5.0,250.07890625,0.6725260290617939,249.734375,249.69921875,250.74609375,0
300,TransCache,5.0,198.3140625,0.7127449551513851,198.5546875,197.94921875,198.85546875,0
350,FS,5.0,192.39921875,0.6306647581000345,192.71875,191.88671875,192.72265625,0
350,PR,5.0,252.91953125,1.0743213019230444,252.6484375,252.30078125,253.51171875,0
350,TransCache,5.0,201.0515625,1.694922550198644,200.90625,199.44140625,201.9921875,0
400,FS,5.0,192.92109375,0.7152957075355268,192.9765625,192.76171875,193.3515625,0
400,PR,5.0,253.82890625,0.5848343782644793,253.46875,253.3828125,254.41796875,0
400,TransCache,5.0,201.1234375,3.4106180779776745,199.75390625,199.3828125,200.46484375,0
450,FS,5.0,195.04375,0.5489436321956245,195.1015625,194.71484375,195.4921875,0
450,PR,5.0,252.878125,0.7079151070772011,252.953125,252.796875,253.44921875,0
450,TransCache,5.0,203.40390625,2.109375868055377,204.1640625,202.1484375,204.59765625,0
500,FS,5.0,196.27265625,0.7898642276029945,196.38671875,195.51171875,196.4375,0
500,PR,5.0,254.99765625,1.2129207549599026,254.23828125,254.19921875,255.49609375,0
500,TransCache,5.0,206.6859375,1.977514284181185,207.5390625,206.3984375,208.2578125,0
