method,size,cost_mean,cost_std
FS,50,1.2299243656674794,0.016271650561465602
FS,100,1.370581431641077,0.022400395635366943
FS,150,1.4505605792165945,0.024373249810316567
FS,200,1.5004591967483119,0.023234759329049916
FS,300,1.5646979505188898,0.026605414420233828
FS,350,1.5884761462816572,0.020895632143083008
FS,400,1.5965935836834573,0.009737254602527716
FS,450,1.6099618509857234,0.02179079856018534
FS,500,1.6345800179870564,0.020425213523904088
FS+Pre+ttl+SE+ema,50,1.1900555526031806,0.02087371938025516
FS+Pre+ttl+SE+ema,100,1.341634217188934,0.022541947879274552
FS+Pre+ttl+SE+ema,150,1.4011825829102187,0.021447246455966594
FS+Pre+ttl+SE+ema,200,1.4474295772170327,0.02770914100782351
FS+Pre+ttl+SE+ema,300,1.4928518891504983,0.04040312519696461
FS+Pre+ttl+SE+ema,350,1.5079778430935373,0.018893653976273
FS+Pre+ttl+SE+ema,400,1.5295383118504273,0.015470941586416789
FS+Pre+ttl+SE+ema,450,1.522138270890228,0.017641860327522844
FS+Pre+ttl+SE+ema,500,1.5628229263863307,0.016671656464741117
PR,50,1.0491688634165925,0.04678464142576943
PR,100,1.219419270537938,0.034813599361259544
PR,150,1.3572120507543033,0.042727550054746384
PR,200,1.4345379797999775,0.05840122228179254
PR,300,1.7108618312553276,0.016955697524455363
PR,350,1.9143723423447028,0.11820841248148412
PR,400,1.814853284462966,0.12986469889257515
PR,450,1.9222325433753256,0.11678122234299504
PR,500,1.95412591337336,0.07723969894563758
