method,size,hitrate_mean,hitrate_std
FS,50,0.328,0.030331501776206207
FS,100,0.49800000000000005,0.03271085446759227
FS,150,0.58,0.027888667551135844
FS,200,0.637,0.024392621835300953
FS,300,0.71,0.02147349787787525
FS,350,0.7348571428571429,0.015037368419360876
FS,400,0.7615000000000001,0.006519202405202602
FS,450,0.7795555555555556,0.013462338871876398
FS,500,0.7888,0.010639548862616316
FS+Pre+ttl+SE+ema,50,0.384,0.035777087639996645
FS+Pre+ttl+SE+ema,100,0.49399999999999994,0.025099800796022288
FS+Pre+ttl+SE+ema,150,0.568,0.01849924923401544
FS+Pre+ttl+SE+ema,200,0.618,0.0248997991959775
FS+Pre+ttl+SE+ema,300,0.6873333333333334,0.02487747754272708
FS+Pre+ttl+SE+ema,350,0.7062857142857143,0.012519372742975262
FS+Pre+ttl+SE+ema,400,0.724,0.010982941318244415
FS+Pre+ttl+SE+ema,450,0.744,0.011265592760565837
FS+Pre+ttl+SE+ema,500,0.744,0.009380831519646861
PR,50,0.20400000000000001,0.03847076812334269
PR,100,0.244,0.04878524367060187
PR,150,0.3386666666666666,0.02467567403109565
PR,200,0.35700000000000004,0.0658217289350561
PR,300,0.40533333333333327,0.07890218980202993
PR,350,0.3937142857142857,0.06459923547914319
PR,400,0.4425,0.03177066256784709
PR,450,0.4328888888888889,0.0466772474777462
PR,500,0.4648,0.04109987834531872
