method,size,util_mean,util_std
FS,50,1.7428571424052817e-12,1.0171990347480006e-12
FS,100,1e-12,0.0
FS,150,1e-12,0.0
FS,200,1e-12,0.0
FS,300,1e-12,0.0
FS,350,1e-12,0.0
FS,400,1e-12,0.0
FS,450,1e-12,0.0
FS,500,1e-12,0.0
FS+Pre+ttl+SE+ema,50,1.7428571427953963e-12,1.0171990352821868e-12
FS+Pre+ttl+SE+ema,100,1e-12,0.0
FS+Pre+ttl+SE+ema,150,1e-12,0.0
FS+Pre+ttl+SE+ema,200,1e-12,0.0
FS+Pre+ttl+SE+ema,300,1e-12,0.0
FS+Pre+ttl+SE+ema,350,1e-12,0.0
FS+Pre+ttl+SE+ema,400,1e-12,0.0
FS+Pre+ttl+SE+ema,450,1e-12,0.0
FS+Pre+ttl+SE+ema,500,1e-12,0.0
PR,50,1e-12,0.0
PR,100,1e-12,0.0
PR,150,1e-12,0.0
PR,200,1e-12,0.0
PR,300,1e-12,0.0
PR,350,1e-12,0.0
PR,400,1e-12,0.0
PR,450,1e-12,0.0
PR,500,1e-12,0.0
